Indicator Code: CG0000
"Indicator Name: All Causes"
Export date: 10/29/2025 8:24:07 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: A00-Y89"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Female,Age20_24,[20-24],1380.00000000,100.00000000,,80.62160425,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Female,Age25_29,[25-29],1887.00000000,100.00000000,,103.19934372,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Female,Age30_34,[30-34],2369.00000000,100.00000000,,127.17414645,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Female,Age35_39,[35-39],3213.00000000,100.00000000,,172.58419724,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Female,Age40_44,[40-44],5037.00000000,100.00000000,,260.37735849,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Female,Age45_49,[45-49],7464.00000000,100.00000000,,398.80316307,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Female,Age50_54,[50-54],10662.00000000,100.00000000,,619.48753704,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Female,Age55_59,[55-59],14644.00000000,100.00000000,,950.84734757,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Female,Age60_64,[60-64],20939.00000000,100.00000000,,1520.29332750,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Female,Age65_69,[65-69],30102.00000000,100.00000000,,2518.15291950,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Female,Age70_74,[70-74],41314.00000000,100.00000000,,4310.72621040,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Female,Age75_79,[75-79],47843.00000000,100.00000000,,7396.87693260,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Female,Age80_84,[80-84],40918.00000000,100.00000000,,12395.63768600,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Female,Age85_over,[85+],35464.00000000,100.00000000,,21376.73297200,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1953,Female,Age00,[0],9447.00000000,100.00000000,,2486.05263160,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1953,Female,Age01_04,[1-4],1749.00000000,100.00000000,,112.77322845,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1953,Female,Age05_09,[5-9],860.00000000,100.00000000,,41.87767822,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1953,Female,Age10_14,[10-14],595.00000000,100.00000000,,36.06279168,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1953,Female,Age15_19,[15-19],781.00000000,100.00000000,,48.23965411,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1953,Female,Age20_24,[20-24],1190.00000000,100.00000000,,70.66927965,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1953,Female,Age25_29,[25-29],1725.00000000,100.00000000,,96.45493178,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1953,Female,Age30_34,[30-34],2439.00000000,100.00000000,,126.24877064,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1953,Female,Age35_39,[35-39],2984.00000000,100.00000000,,168.90247354,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1953,Female,Age40_44,[40-44],4985.00000000,100.00000000,,258.81314573,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1953,Female,Age45_49,[45-49],7443.00000000,100.00000000,,394.60290531,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1953,Female,Age50_54,[50-54],10478.00000000,100.00000000,,600.42404447,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1953,Female,Age55_59,[55-59],14248.00000000,100.00000000,,913.86056058,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1953,Female,Age60_64,[60-64],20661.00000000,100.00000000,,1488.00864240,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1953,Female,Age65_69,[65-69],30058.00000000,100.00000000,,2495.06101100,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1953,Female,Age70_74,[70-74],41086.00000000,100.00000000,,4245.29861540,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1953,Female,Age75_79,[75-79],49485.00000000,100.00000000,,7467.17971930,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1953,Female,Age80_84,[80-84],42236.00000000,100.00000000,,12378.66354000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1953,Female,Age85_over,[85+],37283.00000000,100.00000000,,21879.69483600,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1954,Female,Age00,[0],8815.00000000,100.00000000,,2299.76519700,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1954,Female,Age01_04,[1-4],1298.00000000,100.00000000,,85.57489452,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1954,Female,Age05_09,[5-9],716.00000000,100.00000000,,34.45952450,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1954,Female,Age10_14,[10-14],540.00000000,100.00000000,,31.84525565,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1954,Female,Age15_19,[15-19],753.00000000,100.00000000,,45.99596848,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1954,Female,Age20_24,[20-24],1092.00000000,100.00000000,,65.98984772,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1954,Female,Age25_29,[25-29],1531.00000000,100.00000000,,87.36091298,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1954,Female,Age30_34,[30-34],2398.00000000,100.00000000,,119.79817155,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1954,Female,Age35_39,[35-39],2846.00000000,100.00000000,,171.41480455,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1954,Female,Age40_44,[40-44],4846.00000000,100.00000000,,251.80566381,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1954,Female,Age45_49,[45-49],7343.00000000,100.00000000,,387.49340369,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1954,Female,Age50_54,[50-54],10669.00000000,100.00000000,,603.24550492,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1954,Female,Age55_59,[55-59],14180.00000000,100.00000000,,897.07091795,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1954,Female,Age60_64,[60-64],20760.00000000,100.00000000,,1481.37576710,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1954,Female,Age65_69,[65-69],29792.00000000,100.00000000,,2452.42015150,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1954,Female,Age70_74,[70-74],41166.00000000,100.00000000,,4197.61394920,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1954,Female,Age75_79,[75-79],49022.00000000,100.00000000,,7183.76318870,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1954,Female,Age80_84,[80-84],43430.00000000,100.00000000,,12178.91194600,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1954,Female,Age85_over,[85+],38166.00000000,100.00000000,,21238.73121900,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1955,Female,Age00,[0],8610.00000000,100.00000000,,2300.29388190,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1955,Female,Age01_04,[1-4],1481.00000000,100.00000000,,98.52315061,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1955,Female,Age05_09,[5-9],783.00000000,100.00000000,,37.43545611,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1955,Female,Age10_14,[10-14],570.00000000,100.00000000,,32.69098417,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1955,Female,Age15_19,[15-19],682.00000000,100.00000000,,41.66921244,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1955,Female,Age20_24,[20-24],938.00000000,100.00000000,,57.35599853,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1955,Female,Age25_29,[25-29],1440.00000000,100.00000000,,83.33333333,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1955,Female,Age30_34,[30-34],2131.00000000,100.00000000,,111.14008553,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1955,Female,Age35_39,[35-39],2630.00000000,100.00000000,,153.36171205,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1955,Female,Age40_44,[40-44],4585.00000000,100.00000000,,238.57841607,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1955,Female,Age45_49,[45-49],7181.00000000,100.00000000,,378.84463202,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1955,Female,Age50_54,[50-54],10519.00000000,100.00000000,,587.55515835,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1955,Female,Age55_59,[55-59],14394.00000000,100.00000000,,895.92929167,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1955,Female,Age60_64,[60-64],20766.00000000,100.00000000,,1464.04399320,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1955,Female,Age65_69,[65-69],30514.00000000,100.00000000,,2500.32776140,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1955,Female,Age70_74,[70-74],42632.00000000,100.00000000,,4308.43860540,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1955,Female,Age75_79,[75-79],51138.00000000,100.00000000,,7367.52629300,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1955,Female,Age80_84,[80-84],46899.00000000,100.00000000,,12685.69110100,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1955,Female,Age85_over,[85+],41857.00000000,100.00000000,,22576.59115400,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1956,Female,Age00,[0],8438.00000000,100.00000000,,2178.67286340,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1956,Female,Age01_04,[1-4],1251.00000000,100.00000000,,83.70132477,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1956,Female,Age05_09,[5-9],695.00000000,100.00000000,,33.25358852,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1956,Female,Age10_14,[10-14],502.00000000,100.00000000,,27.68585925,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1956,Female,Age15_19,[15-19],586.00000000,100.00000000,,36.07930058,
