Indicator Code: CG0000
"Indicator Name: All Causes"
Export date: 10/29/2025 8:27:27 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: A00-Y89"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CSA,Central and South America,BRA,Brazil,1981,Female,Age70_74,[70-74],26252.00000000,100.00000000,,3609.51464320,
CSA,Central and South America,BRA,Brazil,1981,Female,Age75_79,[75-79],28077.00000000,100.00000000,,5851.81325550,
CSA,Central and South America,BRA,Brazil,1981,Female,Age80_84,[80-84],22656.00000000,100.00000000,,11177.10902800,
CSA,Central and South America,BRA,Brazil,1981,Female,Age85_over,[85+],22139.00000000,100.00000000,,15257.75327400,
CSA,Central and South America,BRA,Brazil,1982,Female,Age00,[0],70761.00000000,100.00000000,,5107.62234730,
CSA,Central and South America,BRA,Brazil,1982,Female,Age01_04,[1-4],12836.00000000,100.00000000,,176.07923291,
CSA,Central and South America,BRA,Brazil,1982,Female,Age05_09,[5-9],3385.00000000,100.00000000,,43.20853704,
CSA,Central and South America,BRA,Brazil,1982,Female,Age10_14,[10-14],2803.00000000,100.00000000,,38.41620525,
CSA,Central and South America,BRA,Brazil,1982,Female,Age15_19,[15-19],4385.00000000,100.00000000,,61.23104421,
CSA,Central and South America,BRA,Brazil,1982,Female,Age20_24,[20-24],5417.00000000,100.00000000,,87.88980108,
CSA,Central and South America,BRA,Brazil,1982,Female,Age25_29,[25-29],5779.00000000,100.00000000,,110.00913729,
CSA,Central and South America,BRA,Brazil,1982,Female,Age30_34,[30-34],6557.00000000,100.00000000,,154.66811341,
CSA,Central and South America,BRA,Brazil,1982,Female,Age35_39,[35-39],7535.00000000,100.00000000,,223.31881094,
CSA,Central and South America,BRA,Brazil,1982,Female,Age40_44,[40-44],9227.00000000,100.00000000,,312.40900626,
CSA,Central and South America,BRA,Brazil,1982,Female,Age45_49,[45-49],10569.00000000,100.00000000,,424.27040263,
CSA,Central and South America,BRA,Brazil,1982,Female,Age50_54,[50-54],13267.00000000,100.00000000,,606.43598300,
CSA,Central and South America,BRA,Brazil,1982,Female,Age55_59,[55-59],15094.00000000,100.00000000,,846.17109541,
CSA,Central and South America,BRA,Brazil,1982,Female,Age60_64,[60-64],17696.00000000,100.00000000,,1288.19975250,
CSA,Central and South America,BRA,Brazil,1982,Female,Age65_69,[65-69],22079.00000000,100.00000000,,1994.66979850,
CSA,Central and South America,BRA,Brazil,1982,Female,Age70_74,[70-74],25768.00000000,100.00000000,,3463.90643900,
CSA,Central and South America,BRA,Brazil,1982,Female,Age75_79,[75-79],28447.00000000,100.00000000,,5797.22844920,
CSA,Central and South America,BRA,Brazil,1982,Female,Age80_84,[80-84],23425.00000000,100.00000000,,11300.04823900,
CSA,Central and South America,BRA,Brazil,1982,Female,Age85_over,[85+],22331.00000000,100.00000000,,15047.84366600,
CSA,Central and South America,BRA,Brazil,1983,Female,Age00,[0],66647.00000000,100.00000000,,5289.86427490,
CSA,Central and South America,BRA,Brazil,1983,Female,Age01_04,[1-4],13695.00000000,100.00000000,,187.02373474,
CSA,Central and South America,BRA,Brazil,1983,Female,Age05_09,[5-9],3393.00000000,100.00000000,,43.42706480,
CSA,Central and South America,BRA,Brazil,1983,Female,Age10_14,[10-14],2920.00000000,100.00000000,,40.89349485,
CSA,Central and South America,BRA,Brazil,1983,Female,Age15_19,[15-19],4476.00000000,100.00000000,,67.30017442,
CSA,Central and South America,BRA,Brazil,1983,Female,Age20_24,[20-24],5250.00000000,100.00000000,,80.62286925,
CSA,Central and South America,BRA,Brazil,1983,Female,Age25_29,[25-29],5948.00000000,100.00000000,,106.43856698,
CSA,Central and South America,BRA,Brazil,1983,Female,Age30_34,[30-34],6738.00000000,100.00000000,,141.91537311,
CSA,Central and South America,BRA,Brazil,1983,Female,Age35_39,[35-39],7841.00000000,100.00000000,,205.40158223,
CSA,Central and South America,BRA,Brazil,1983,Female,Age40_44,[40-44],9342.00000000,100.00000000,,309.02054183,
CSA,Central and South America,BRA,Brazil,1983,Female,Age45_49,[45-49],11184.00000000,100.00000000,,425.66796072,
CSA,Central and South America,BRA,Brazil,1983,Female,Age50_54,[50-54],13742.00000000,100.00000000,,626.00218659,
CSA,Central and South America,BRA,Brazil,1983,Female,Age55_59,[55-59],16104.00000000,100.00000000,,847.53434030,
CSA,Central and South America,BRA,Brazil,1983,Female,Age60_64,[60-64],18642.00000000,100.00000000,,1229.03481010,
CSA,Central and South America,BRA,Brazil,1983,Female,Age65_69,[65-69],23289.00000000,100.00000000,,2061.52075770,
CSA,Central and South America,BRA,Brazil,1983,Female,Age70_74,[70-74],27475.00000000,100.00000000,,3189.57511030,
CSA,Central and South America,BRA,Brazil,1983,Female,Age75_79,[75-79],30686.00000000,100.00000000,,5790.90394410,
CSA,Central and South America,BRA,Brazil,1983,Female,Age80_84,[80-84],26257.00000000,100.00000000,,10836.56624000,
CSA,Central and South America,BRA,Brazil,1983,Female,Age85_over,[85+],24646.00000000,100.00000000,,14270.99015600,
CSA,Central and South America,BRA,Brazil,1984,Female,Age00,[0],67347.00000000,100.00000000,,5688.57166990,
CSA,Central and South America,BRA,Brazil,1984,Female,Age01_04,[1-4],15038.00000000,100.00000000,,198.15783579,
CSA,Central and South America,BRA,Brazil,1984,Female,Age05_09,[5-9],3511.00000000,100.00000000,,43.95783253,
CSA,Central and South America,BRA,Brazil,1984,Female,Age10_14,[10-14],2849.00000000,100.00000000,,39.02953587,
CSA,Central and South America,BRA,Brazil,1984,Female,Age15_19,[15-19],4360.00000000,100.00000000,,64.12707751,
CSA,Central and South America,BRA,Brazil,1984,Female,Age20_24,[20-24],5340.00000000,100.00000000,,80.21631366,
CSA,Central and South America,BRA,Brazil,1984,Female,Age25_29,[25-29],6033.00000000,100.00000000,,105.60680589,
CSA,Central and South America,BRA,Brazil,1984,Female,Age30_34,[30-34],6939.00000000,100.00000000,,142.96310032,
CSA,Central and South America,BRA,Brazil,1984,Female,Age35_39,[35-39],8114.00000000,100.00000000,,207.91800128,
CSA,Central and South America,BRA,Brazil,1984,Female,Age40_44,[40-44],9836.00000000,100.00000000,,318.26565281,
CSA,Central and South America,BRA,Brazil,1984,Female,Age45_49,[45-49],11689.00000000,100.00000000,,435.18242740,
CSA,Central and South America,BRA,Brazil,1984,Female,Age50_54,[50-54],14287.00000000,100.00000000,,636.61883968,
CSA,Central and South America,BRA,Brazil,1984,Female,Age55_59,[55-59],16783.00000000,100.00000000,,864.03418451,
CSA,Central and South America,BRA,Brazil,1984,Female,Age60_64,[60-64],19493.00000000,100.00000000,,1257.12627370,
CSA,Central and South America,BRA,Brazil,1984,Female,Age65_69,[65-69],24170.00000000,100.00000000,,2092.82188930,
CSA,Central and South America,BRA,Brazil,1984,Female,Age70_74,[70-74],29120.00000000,100.00000000,,3306.83624800,
CSA,Central and South America,BRA,Brazil,1984,Female,Age75_79,[75-79],31956.00000000,100.00000000,,5899.20620270,
CSA,Central and South America,BRA,Brazil,1984,Female,Age80_84,[80-84],28919.00000000,100.00000000,,11670.29862800,
CSA,Central and South America,BRA,Brazil,1984,Female,Age85_over,[85+],26875.00000000,100.00000000,,15149.37993200,
CSA,Central and South America,BRA,Brazil,1985,Female,Age00,[0],56497.00000000,100.00000000,,4615.76797390,
CSA,Central and South America,BRA,Brazil,1985,Female,Age01_04,[1-4],11992.00000000,100.00000000,,154.90137825,
CSA,Central and South America,BRA,Brazil,1985,Female,Age05_09,[5-9],3444.00000000,100.00000000,,42.19140491,
CSA,Central and South America,BRA,Brazil,1985,Female,Age10_14,[10-14],2877.00000000,100.00000000,,38.56516669,
CSA,Central and South America,BRA,Brazil,1985,Female,Age15_19,[15-19],4439.00000000,100.00000000,,63.88429157,
